TransactionID,SaleDate,Store,Province,ProductID,UnitPrice,QuantitySold
1,2025-01-17,Regina,SK,2,129.76,8
2,01-25-2025,Calgary,AB,1,1491.65,1
3,01-10-2025,Calgary,AB,4,,9
4,2025-01-04,Regina,SK,5,85.73,2
5,2025-01-11,Regina,SK,2,129.76,8
6,"Jan 16, 2025",Winnipeg,MB,5,85.73,2
7,01-08-2025,Calgary,AB,1,1491.65,2
8,07-Jan-2025,Edmonton,AB,6,806.1,
9,"Jan 11, 2025",Winnipeg,MB,1,1491.65,1
10,"Jan 09, 2025",Winnipeg,MB,5,85.73,10
11,2025-01-27,Regina,SK,1,1491.65,8
12,17/01/2025,Saskatoon,SK,2,129.76,7
13,01-06-2025,Calgary,AB,6,806.1,8
14,2025-01-04,Regina,SK,4,,5
15,12-Jan-2025,Edmonton,AB,1,,9
16,"Jan 06, 2025",Winnipeg,MB,6,806.1,2
17,24/01/2025,Saskatoon,SK,1,1491.65,7
18,19-Jan-2025,Edmonton,AB,6,806.1,3
19,28-Jan-2025,Edmonton,AB,3,143.93,3
20,01-18-2025,Calgary,AB,2,129.76,10
21,01-22-2025,Calgary,AB,4,,5
22,10-Jan-2025,Edmonton,AB,5,85.73,10
23,01-23-2025,Calgary,AB,6,,9
24,"Jan 29, 2025",Winnipeg,MB,3,,10
25,17/01/2025,Saskatoon,SK,4,,8
26,01-01-2025,Calgary,AB,2,,3
27,31-Jan-2025,Edmonton,AB,5,85.73,
28,01/01/2025,Saskatoon,SK,2,,7
29,04-Jan-2025,Edmonton,AB,4,,
30,01/01/2025,Saskatoon,SK,6,806.1,1
31,2025-01-06,Regina,SK,5,85.73,3
32,01-26-2025,Calgary,AB,6,806.1,7
33,2025-01-23,Regina,SK,3,143.93,4
34,01-01-2025,Calgary,AB,2,,3
35,2025-01-28,Regina,SK,6,806.1,4
36,2025-01-07,Regina,SK,1,1491.65,4
37,15/01/2025,Saskatoon,SK,3,143.93,9
38,01-06-2025,Calgary,AB,5,,9
39,"Jan 26, 2025",Winnipeg,MB,5,85.73,3
40,27/01/2025,Saskatoon,SK,2,,1
41,"Jan 11, 2025",Winnipeg,MB,6,806.1,1
42,01-24-2025,Calgary,AB,1,1491.65,4
43,01-28-2025,Calgary,AB,5,85.73,4
44,01-10-2025,Calgary,AB,5,85.73,3
45,17-Jan-2025,Edmonton,AB,3,,9
46,"Jan 02, 2025",Winnipeg,MB,6,806.1,6
47,01-29-2025,Calgary,AB,5,85.73,9
48,"Jan 04, 2025",Winnipeg,MB,3,143.93,1
49,01-09-2025,Calgary,AB,2,129.76,6
50,"Jan 13, 2025",Winnipeg,MB,5,85.73,9
51,01-25-2025,Calgary,AB,1,1491.65,5
52,31-Jan-2025,Edmonton,AB,2,129.76,2
53,2025-01-28,Regina,SK,6,,10
54,01-10-2025,Calgary,AB,5,,10
55,2025-01-25,Regina,SK,5,85.73,4
56,01-10-2025,Calgary,AB,3,,8
57,01-07-2025,Calgary,AB,4,30.43,6
58,01-11-2025,Calgary,AB,5,85.73,6
59,2025-01-16,Regina,SK,5,85.73,3
60,01-23-2025,Calgary,AB,1,1491.65,9
61,2025-01-10,Regina,SK,5,85.73,1
62,01-06-2025,Calgary,AB,5,85.73,3
63,01-16-2025,Calgary,AB,2,129.76,7
64,2025-01-11,Regina,SK,3,143.93,10
65,01-10-2025,Calgary,AB,4,30.43,1
66,08-Jan-2025,Edmonton,AB,1,,3
67,2025-01-28,Regina,SK,6,806.1,4
68,14-Jan-2025,Edmonton,AB,3,143.93,8
69,29/01/2025,Saskatoon,SK,2,,1
70,01-28-2025,Calgary,AB,2,129.76,2
71,2025-01-15,Regina,SK,6,806.1,6
72,03-Jan-2025,Edmonton,AB,3,,2
73,08/01/2025,Saskatoon,SK,5,85.73,6
74,2025-01-29,Regina,SK,2,129.76,1
75,"Jan 17, 2025",Winnipeg,MB,2,129.76,4
76,08-Jan-2025,Edmonton,AB,6,806.1,2
77,2025-01-23,Regina,SK,1,,2
78,13/01/2025,Saskatoon,SK,2,,4
79,"Jan 06, 2025",Winnipeg,MB,5,,6
80,"Jan 12, 2025",Winnipeg,MB,1,1491.65,8
81,13/01/2025,Saskatoon,SK,2,,4
82,02/01/2025,Saskatoon,SK,4,,5
83,21/01/2025,Saskatoon,SK,2,129.76,3
84,24-Jan-2025,Edmonton,AB,6,806.1,7
85,2025-01-22,Regina,SK,4,,9
86,2025-01-21,Regina,SK,3,143.93,5
87,2025-01-02,Regina,SK,3,143.93,9
88,2025-01-05,Regina,SK,5,85.73,10
89,01-17-2025,Calgary,AB,3,143.93,6
90,21-Jan-2025,Edmonton,AB,3,143.93,5
91,2025-01-29,Regina,SK,2,129.76,6
92,01-30-2025,Calgary,AB,5,85.73,5
93,01-13-2025,Calgary,AB,1,1491.65,8
94,01-19-2025,Calgary,AB,5,85.73,3
95,01-26-2025,Calgary,AB,3,143.93,9
96,"Jan 27, 2025",Winnipeg,MB,6,806.1,1
97,01-01-2025,Calgary,AB,2,129.76,6
98,01-04-2025,Calgary,AB,1,1491.65,10
99,2025-01-03,Regina,SK,4,,10
100,05/01/2025,Saskatoon,SK,6,806.1,10
101,2025-01-28,Regina,SK,4,30.43,6
102,01/01/2025,Saskatoon,SK,1,1491.65,8
103,2025-01-31,Regina,SK,5,85.73,10
104,2025-01-05,Regina,SK,2,,8
105,2025-01-28,Regina,SK,5,,6
106,24-Jan-2025,Edmonton,AB,4,30.43,1
107,2025-01-16,Regina,SK,3,143.93,7
108,01-12-2025,Calgary,AB,2,129.76,9
109,"Jan 06, 2025",Winnipeg,MB,1,1491.65,8
110,"Jan 27, 2025",Winnipeg,MB,4,30.43,7
111,11/01/2025,Saskatoon,SK,6,806.1,9
112,01-15-2025,Calgary,AB,4,30.43,7
113,14-Jan-2025,Edmonton,AB,3,143.93,3
114,"Jan 15, 2025",Winnipeg,MB,3,,9
115,18/01/2025,Saskatoon,SK,6,806.1,10
116,2025-01-14,Regina,SK,4,30.43,4
117,26/01/2025,Saskatoon,SK,2,129.76,9
118,17/01/2025,Saskatoon,SK,6,806.1,8
119,"Jan 30, 2025",Winnipeg,MB,1,1491.65,7
120,11/01/2025,Saskatoon,SK,1,,10
121,18-Jan-2025,Edmonton,AB,5,85.73,4
122,08-Jan-2025,Edmonton,AB,3,,8
123,01-29-2025,Calgary,AB,4,30.43,3
124,24/01/2025,Saskatoon,SK,5,85.73,6
125,21-Jan-2025,Edmonton,AB,6,806.1,4
126,14/01/2025,Saskatoon,SK,5,85.73,7
127,"Jan 24, 2025",Winnipeg,MB,2,129.76,2
128,01/01/2025,Saskatoon,SK,3,143.93,3
129,22/01/2025,Saskatoon,SK,2,129.76,6
130,"Jan 27, 2025",Winnipeg,MB,2,129.76,10
131,03/01/2025,Saskatoon,SK,4,,1
132,2025-01-30,Regina,SK,3,143.93,
133,12-Jan-2025,Edmonton,AB,1,1491.65,10
134,01-13-2025,Calgary,AB,6,806.1,
135,07-Jan-2025,Edmonton,AB,1,1491.65,5
136,23-Jan-2025,Edmonton,AB,4,30.43,10
137,24/01/2025,Saskatoon,SK,4,30.43,7
138,2025-01-26,Regina,SK,1,,9
139,01-30-2025,Calgary,AB,5,85.73,10
140,2025-01-01,Regina,SK,1,,7
141,2025-01-14,Regina,SK,6,806.1,4
142,01-18-2025,Calgary,AB,3,,3
143,01-05-2025,Calgary,AB,6,806.1,9
144,12/01/2025,Saskatoon,SK,5,,7
145,"Jan 02, 2025",Winnipeg,MB,3,143.93,10
146,2025-01-03,Regina,SK,1,1491.65,2
147,01-22-2025,Calgary,AB,1,1491.65,7
148,08/01/2025,Saskatoon,SK,5,,4
149,03/01/2025,Saskatoon,SK,6,806.1,8
150,13/01/2025,Saskatoon,SK,2,129.76,
151,22-Jan-2025,Edmonton,AB,4,30.43,9
152,2025-01-10,Regina,SK,6,806.1,1
153,"Jan 27, 2025",Winnipeg,MB,6,806.1,7
154,14-Jan-2025,Edmonton,AB,2,129.76,7
155,09-Jan-2025,Edmonton,AB,5,85.73,1
156,"Jan 15, 2025",Winnipeg,MB,3,143.93,10
157,06-Jan-2025,Edmonton,AB,4,30.43,8
158,2025-01-24,Regina,SK,1,1491.65,9
159,"Jan 22, 2025",Winnipeg,MB,2,,1
160,"Jan 09, 2025",Winnipeg,MB,2,129.76,2
161,2025-01-06,Regina,SK,5,85.73,6
162,31-Jan-2025,Edmonton,AB,5,85.73,5
163,2025-01-18,Regina,SK,2,129.76,3
164,"Jan 17, 2025",Winnipeg,MB,2,129.76,10
165,"Jan 21, 2025",Winnipeg,MB,1,1491.65,3
166,12/01/2025,Saskatoon,SK,3,,4
167,01-10-2025,Calgary,AB,5,85.73,5
168,2025-01-03,Regina,SK,4,30.43,4
